,Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
0,1167,avg,Ridge,0.2353119617561845,0.14052994397903534,0.3052017127370035,0.17210061143254893,0.27782437979315877,-0.3215896179868525,"[0.54712865 0.51617024 0.57808706 0.33056958 0.34051644 0.32062272
 0.51034854 0.55406757 0.4666295  0.85315023 0.84447702 0.86182343
 0.84928295 0.81832454 0.88024136 0.63272388 0.64267074 0.62277703
 0.81250284 0.85622188 0.7687838  0.65838523 0.64971203 0.66705843
 0.65451796 0.62355955 0.68547637 0.43795889 0.44790575 0.42801203
 0.61773784 0.66145688 0.5740188  0.55099592 0.54232272 0.55966913]","[[0.47114438]
 [0.72831622]
 [0.71985186]
 [0.72965397]
 [0.32654449]
 [0.53297676]
 [0.29228146]
 [0.35879772]
 [0.29614315]
 [0.6058648 ]
 [0.83673575]
 [0.93482886]
 [0.97322836]
 [0.96522473]
 [0.95250939]
 [0.96531609]
 [0.98482293]
 [0.96360615]
 [0.88067913]
 [0.96778521]
 [0.98564011]
 [0.93759242]
 [0.96617954]
 [0.9595651 ]
 [0.93997339]
 [0.93346047]
 [0.89254929]
 [1.        ]
 [0.99904466]
 [0.99774927]
 [0.98518001]
 [0.99785545]
 [0.98871093]
 [0.45989622]
 [0.43331883]
 [0.50304679]]",36
0,1202,avg,Ridge,0.14824625418035084,0.1288690928598825,0.48861161937527725,1.3841842742433543,0.18837294702815843,0.4091849480814024,"[0.58324604 0.54034209 0.62614998 0.38576808 0.38485367 0.3866825
 0.54516984 0.57465362 0.51568607 0.89300754 0.87469457 0.9113205
 0.89180742 0.84890348 0.93471136 0.69432946 0.69341505 0.69524388
 0.85373122 0.883215   0.82424745 0.70802969 0.68971673 0.72634266
 0.70682957 0.66392563 0.74973351 0.50935162 0.50843721 0.51026603
 0.66875338 0.69823715 0.63926961 0.58444615 0.56613319 0.60275912]","[[0.14906355]
 [0.59650097]
 [0.6126219 ]
 [0.30539326]
 [0.06283783]
 [0.36968642]
 [0.43239395]
 [0.41168073]
 [0.41671517]
 [0.64477475]
 [0.87751438]
 [0.83061693]
 [0.97139705]
 [0.93711641]
 [0.83269947]
 [0.35175302]
 [0.31921994]
 [0.67310099]
 [0.76240106]
 [0.79691918]
 [0.88185945]
 [0.96732285]
 [0.89301463]
 [0.96945338]
 [0.62507124]
 [0.71542897]
 [0.65347818]
 [0.34203753]
 [0.77984246]
 [0.24694186]
 [0.38356225]
 [0.39794357]
 [0.48052866]
 [0.56819652]
 [0.52831934]
 [0.57514431]]",36
0,1218,avg,Ridge,0.14073282072037205,0.13889607007795463,0.7762946388002537,2.005872587413463,0.19426784024545693,0.4864039476313605,"[0.55901327 0.55767363 0.5603529  0.35960597 0.40034688 0.31886506
 0.51998445 0.58932885 0.45064005 0.86303828 0.88517508 0.84090148
 0.8623347  0.86099506 0.86367433 0.6629274  0.70366831 0.62218649
 0.82330588 0.89265028 0.75396148 0.69647041 0.71860721 0.67433362
 0.69576683 0.69442719 0.69710646 0.49635953 0.53710045 0.45561862
 0.65673801 0.72608241 0.58739361 0.55971685 0.58185365 0.53758005]","[[0.40903003]
 [0.62575839]
 [0.71403127]
 [0.39324875]
 [0.05213942]
 [0.26105455]
 [0.39638506]
 [0.4015846 ]
 [0.31444566]
 [0.9439279 ]
 [0.8609094 ]
 [0.94207013]
 [0.85525179]
 [0.92696188]
 [0.86337731]
 [0.60714991]
 [0.78177199]
 [0.82261721]
 [0.95214641]
 [0.95696108]
 [0.96341331]
 [0.6496102 ]
 [0.5107936 ]
 [0.72456473]
 [0.67607412]
 [0.70814178]
 [0.49685288]
 [0.07405875]
 [0.43190293]
 [0.20643897]
 [0.08443895]
 [0.21605889]
 [0.4988302 ]
 [0.68774913]
 [0.74007091]
 [0.55605146]]",36
0,1219,avg,Ridge,0.1420194821536525,0.15532586328584988,79469451210725.2,88.00627562196118,0.19422595172308774,0.4078256150122155,"[0.53592901 0.52544737 0.54641066 0.33019729 0.3629001  0.29749448
 0.49526351 0.55601475 0.43451227 0.84135333 0.85413838 0.82856828
 0.84097918 0.83049754 0.85146083 0.63524746 0.66795028 0.60254465
 0.80031368 0.86106492 0.73956244 0.66881326 0.68159831 0.65602821
 0.66843911 0.65795747 0.67892076 0.46270739 0.49541021 0.43000458
 0.62777361 0.68852485 0.56702237 0.53630316 0.54908821 0.5235181 ]","[[0.21703461]
 [0.26919282]
 [0.56188405]
 [0.56709756]
 [0.20122971]
 [0.51169929]
 [0.39029043]
 [0.43337528]
 [0.39525584]
 [0.82388459]
 [0.92080653]
 [0.94551738]
 [0.96712736]
 [0.99043175]
 [0.88401723]
 [0.        ]
 [0.77550664]
 [0.66544829]
 [0.85544417]
 [0.88295712]
 [1.        ]
 [0.54611342]
 [0.57300695]
 [0.53752532]
 [0.62221352]
 [0.70538468]
 [0.50094389]
 [0.37172853]
 [0.56174631]
 [0.41365941]
 [0.40858063]
 [0.16723032]
 [0.32851711]
 [0.57982691]
 [0.43863302]
 [0.57500456]]",36
0,1234,avg,Ridge,0.2246104888714918,0.16298307272171123,72258746962033.38,102.17347248072805,0.3087689625877953,-0.1918652228725064,"[0.6228522  0.58472    0.6609844  0.42715323 0.42705821 0.42724824
 0.58804909 0.61712343 0.55897476 0.93969694 0.92204749 0.9573464
 0.93713019 0.89899798 0.97526239 0.74143121 0.7413362  0.74152623
 0.90232708 0.93140142 0.87325275 0.77587367 0.75822422 0.79352312
 0.77330691 0.73517471 0.81143911 0.57760794 0.57751292 0.57770295
 0.73850381 0.76757814 0.70942947 0.62541896 0.6077695  0.64306841]","[[0.69992615]
 [0.58704173]
 [0.56621503]
 [0.51424479]
 [0.27277721]
 [0.58591224]
 [0.42029501]
 [0.4744252 ]
 [0.37533383]
 [0.80384281]
 [0.9146671 ]
 [0.90118178]
 [0.92970417]
 [0.95392983]
 [0.85809623]
 [0.0469013 ]
 [0.71413153]
 [0.36338832]
 [0.91124271]
 [0.87686392]
 [0.83301408]
 [0.22708617]
 [0.4403976 ]
 [0.28762385]
 [0.72069034]
 [0.38589281]
 [0.50306656]
 [0.        ]
 [0.20943641]
 [0.02536471]
 [0.09819906]
 [0.23941059]
 [0.20836221]
 [0.63245741]
 [0.72096599]
 [0.57845471]]",36
0,1273,avg,Ridge,0.1856531841295387,0.1431526569348402,0.2577357661842077,0.22360019628867545,0.22192867069923614,0.07783338312853116,"[0.57183223 0.54059702 0.60306744 0.36587829 0.37422269 0.3575339
 0.53547691 0.57416519 0.49678863 0.88365556 0.87336891 0.8939422
 0.88085404 0.84961883 0.91208925 0.6749001  0.6832445  0.66655571
 0.84449872 0.883187   0.80581044 0.6976414  0.68735476 0.70792804
 0.69483988 0.66360467 0.72607509 0.48888595 0.49723034 0.48054155
 0.65848456 0.69717284 0.61979628 0.57463375 0.5643471  0.58492039]","[[0.62997734]
 [0.58704173]
 [0.58027284]
 [0.50859862]
 [0.45565884]
 [0.44532886]
 [0.38605619]
 [0.44415041]
 [0.36530147]
 [0.60095033]
 [0.97760203]
 [0.93156845]
 [0.97190281]
 [0.97763469]
 [0.97715437]
 [0.82428567]
 [0.89054612]
 [0.91884961]
 [0.95346336]
 [0.95998677]
 [0.9610678 ]
 [0.9990586 ]
 [0.99149912]
 [0.9296209 ]
 [0.91438627]
 [0.97210151]
 [0.88825073]
 [0.23763899]
 [0.98775245]
 [0.94403186]
 [0.48171196]
 [0.62563646]
 [0.76102029]
 [0.78625055]
 [1.        ]
 [0.99994395]]",36
0,1298,avg,Ridge,0.1223927681034451,0.13870671921217478,0.28591847570430234,0.3194833374323674,0.15336689312873025,0.549883171044471,"[0.5423877  0.52592195 0.55885345 0.33605491 0.36132235 0.31078747
 0.50403162 0.55971156 0.44835167 0.84780379 0.85431512 0.84129246
 0.84596995 0.82950421 0.8624357  0.63963716 0.6649046  0.61436972
 0.80761387 0.86329381 0.75193393 0.67976136 0.68627269 0.67325002
 0.67792752 0.66146177 0.69439327 0.47159473 0.49686217 0.44632729
 0.63957144 0.69525138 0.58389149 0.54422153 0.55073287 0.5377102 ]","[[0.36149194]
 [0.43979194]
 [0.56834823]
 [0.52796393]
 [0.44945517]
 [0.31917066]
 [0.45063245]
 [0.51022149]
 [0.38337098]
 [0.75748653]
 [0.94142062]
 [0.95147254]
 [0.93909039]
 [0.97894941]
 [0.78161174]
 [0.75863108]
 [0.70394953]
 [0.60870082]
 [0.96517574]
 [0.93389062]
 [0.97289124]
 [0.43378687]
 [0.53524136]
 [0.55074771]
 [0.72556523]
 [0.69860234]
 [0.53338386]
 [0.21471827]
 [0.52124703]
 [0.29892466]
 [0.28267304]
 [0.336191  ]
 [0.26568292]
 [0.50181116]
 [0.43881792]
 [0.4706547 ]]",36
0,1339,avg,Ridge,0.23703937273718412,0.12259668696193333,1.053761514273757,1.235676967427132,0.303845599463306,-0.17437075448491557,"[0.61158119 0.58387539 0.63928698 0.39788822 0.41136592 0.38441051
 0.57340446 0.61754065 0.52926826 0.91436579 0.90809228 0.9206393
 0.91177352 0.88406772 0.93947932 0.69808055 0.71155826 0.68460285
 0.87359679 0.91773299 0.82946059 0.75812431 0.7518508  0.76439782
 0.75553204 0.72782625 0.78323784 0.54183907 0.55531678 0.52836137
 0.71735531 0.76149151 0.67321911 0.61417346 0.60789994 0.62044697]","[[0.1677766 ]
 [0.58048175]
 [0.58666233]
 [0.49677968]
 [0.34892035]
 [0.44762699]
 [0.31219077]
 [0.39582572]
 [0.31664838]
 [0.65657944]
 [0.94219027]
 [0.91374737]
 [0.94696319]
 [0.89135846]
 [0.8717736 ]
 [0.85308362]
 [0.71339994]
 [0.91840272]
 [0.95716304]
 [0.84305212]
 [0.7848518 ]
 [0.28733152]
 [0.4173702 ]
 [0.35333821]
 [0.31007574]
 [0.26073352]
 [0.22604631]
 [0.20434278]
 [0.4114521 ]
 [0.09991753]
 [0.11831266]
 [0.11560503]
 [0.17233788]
 [0.37047272]
 [0.29696552]
 [0.40574128]]",36
0,11285,avg,Ridge,0.20140868830151207,0.11063970283631872,0.2577323025006466,0.1740275562768217,0.23904197543639547,-0.14778294991006757,"[0.57428364 0.54704021 0.60152707 0.37683971 0.38862851 0.36505091
 0.53879796 0.58058556 0.49701036 0.89311894 0.88745208 0.8987858
 0.89065808 0.86341465 0.91790151 0.69321415 0.70500295 0.68142534
 0.8551724  0.89696    0.8133848  0.69967718 0.69401031 0.70534404
 0.69721631 0.66997288 0.72445974 0.49977238 0.51156118 0.48798358
 0.66173063 0.70351823 0.61994303 0.57674451 0.57107764 0.58241137]","[[0.91348945]
 [0.98451715]
 [0.99262437]
 [0.29211455]
 [0.30351804]
 [0.50266117]
 [0.32310936]
 [0.39512069]
 [0.40226433]
 [0.84723405]
 [0.97927416]
 [0.9706893 ]
 [0.96451624]
 [0.9705113 ]
 [0.97664467]
 [0.78988673]
 [0.70806332]
 [0.54729751]
 [0.87466035]
 [0.74207174]
 [0.98245203]
 [0.99497187]
 [0.99777463]
 [0.97409977]
 [0.96621555]
 [0.94066202]
 [0.82287077]
 [0.70396517]
 [0.91296726]
 [0.81070028]
 [0.86056908]
 [0.81702822]
 [0.86183369]
 [0.99968798]
 [0.99975936]
 [0.99529203]]",36
0,11457,avg,Ridge,0.17386028438213574,0.09490645034383706,0.2284302898251889,0.27799029684470017,0.21224648062520524,-0.07120615744283398,"[0.60924813 0.56695288 0.65154337 0.40543364 0.40499464 0.40587264
 0.56915357 0.59490369 0.54340344 0.92237034 0.90143994 0.94330074
 0.92206782 0.87977257 0.96436306 0.71825333 0.71781433 0.71869233
 0.88197326 0.90772338 0.85622313 0.72965957 0.70872917 0.75058997
 0.72935704 0.6870618  0.77165229 0.52554256 0.52510356 0.52598156
 0.68926249 0.71501261 0.66351236 0.60955065 0.58862025 0.63048105]","[[0.84842973]
 [0.78374516]
 [0.78660112]
 [0.39426409]
 [0.20988306]
 [0.59838156]
 [0.40687344]
 [0.48232297]
 [0.37587003]
 [0.88958072]
 [0.98772021]
 [0.94660322]
 [0.96755022]
 [0.96704582]
 [0.94045689]
 [0.70563928]
 [0.75733379]
 [0.7751519 ]
 [0.99724594]
 [0.96430661]
 [0.960025  ]
 [0.96417435]
 [0.94592884]
 [0.94637247]
 [0.92483339]
 [0.90024691]
 [0.85893472]
 [0.87072956]
 [0.97701347]
 [0.88924878]
 [0.8603028 ]
 [0.95518657]
 [0.92619117]
 [0.99707015]
 [0.99842596]
 [0.99892703]]",36
